timestamp,left_iris_x,left_iris_y,right_iris_x,right_iris_y,gaze_x,gaze_y,target_x,target_y,target_x_ratio,target_y_ratio,screen_width,screen_height
1755722885448,0.45305,0.48545,0.57457,0.49151,860,463,860.1600000000001,463,0.42000,0.50000,2048,926
1755722885475,0.45318,0.48634,0.57439,0.49172,860,463,860.1600000000001,463,0.42000,0.50000,2048,926
1755722885506,0.45309,0.48397,0.57402,0.48973,860,463,860.1600000000001,463,0.42000,0.50000,2048,926
1755722886043,0.45714,0.46881,0.57864,0.47413,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722886076,0.45689,0.46873,0.57894,0.47436,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722886103,0.45698,0.46746,0.57949,0.47208,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722886130,0.45734,0.46725,0.57940,0.47233,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722886159,0.45720,0.46773,0.57910,0.47189,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722886187,0.45717,0.46818,0.57916,0.47195,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722886216,0.45705,0.46795,0.57937,0.47233,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722886243,0.45816,0.46783,0.57938,0.47169,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722886274,0.45807,0.46785,0.57922,0.47159,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722886305,0.45749,0.46724,0.57953,0.47169,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722886334,0.45787,0.46737,0.57936,0.47144,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722886363,0.45714,0.46743,0.57932,0.47133,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722886389,0.45720,0.46787,0.57924,0.47106,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722886417,0.45662,0.46606,0.57870,0.47106,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722886444,0.45670,0.46634,0.57864,0.47137,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722886473,0.45677,0.46644,0.57870,0.47100,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722886502,0.45605,0.46537,0.57846,0.47038,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722886530,0.45575,0.46564,0.57817,0.46972,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722886558,0.45601,0.46569,0.57814,0.46983,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722886585,0.45546,0.46604,0.57756,0.46902,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
1755722886614,0.45553,0.46591,0.57753,0.46930,369,19,368.63999999999993,18.52,0.18000,0.02000,2048,926
